year,vote_average,vote_count
1902,7.901,1927
1903,7.0,674
1916,7.1,365
1917,7.282,303
1918,7.324,350
1920,7.92,2028
1921,7.9735,2630
1922,7.664,2371
1923,7.59,862
1924,7.9079999999999995,1454
1925,7.55375,3719
1926,7.913,1744
1927,7.561,4500
1928,7.7298,3301
1929,7.382,1691
1930,7.25,1574
1931,7.5675,8509
1932,7.243,3507
1933,7.328749999999999,3735
1934,7.3325,2758
1935,7.351999999999999,3311
1936,7.790333333333334,4720
1937,7.265666666666667,1444
1938,7.425999999999999,11467
1939,7.658666666666666,13629
1940,7.6129999999999995,19006
1941,7.311444444444444,16065
1942,7.188599999999999,8356
1943,7.541666666666667,8427
1944,7.365875,6377
1945,7.563,5854
1946,7.528846153846154,12536
1947,7.32025,4319
1948,7.505636363636364,10449
1949,7.402125,5304
1950,7.561181818181819,17364
1951,7.3282,13801
1952,7.79075,9427
1953,7.337523809523809,19230
1954,7.4478947368421045,25228
1955,7.2662,19543
1956,7.441866666666667,13116
1957,7.647944444444445,27954
1958,7.3346,14793
1959,7.483894736842105,26329
1960,7.46675,31471
1961,7.49721052631579,23115
1962,7.6244,29575
1963,7.371125,29658
1964,7.391615384615384,32567
1965,7.218652173913044,21060
1966,7.369222222222222,28376
1967,7.2504,28875
1968,7.1323,43295
1969,7.21409090909091,17630
1970,7.095782608695652,20656
1971,7.117904761904762,48598
1972,7.035323529411764,46651
1973,7.256372093023256,52053
1974,7.169,47910
1975,7.181533333333333,53519
1976,7.076641025641025,53873
1977,6.932666666666666,57160
1978,6.8685121951219505,48633
1979,7.0604054054054055,71995
1980,6.9086739130434776,86297
1981,6.896888888888889,70205
1982,6.990137254901961,89720
1983,6.888551020408163,74035
1984,6.855353846153847,121141
1985,6.824333333333334,119338
1986,6.8881805555555555,110536
1987,6.9085616438356166,117917
1988,6.881340909090909,142589
1989,6.85684,137252
1990,6.776597402597402,163816
1991,6.9019240506329105,129104
1992,6.86532530120482,151414
1993,6.908936363636363,188374
1994,6.875938775510204,253933
1995,6.922645454545455,251860
1996,6.775732673267327,181042
1997,6.854165217391305,290164
1998,6.860146341463414,291413
1999,6.857787610619469,341267
2000,6.862516129032258,322492
2001,6.807784722222222,403387
2002,6.800144736842106,403944
2003,6.805738853503184,417463
2004,6.844041666666667,505779
2005,6.795280701754385,412912
2006,6.819638743455497,474163
2007,6.778050228310502,535569
2008,6.773185365853658,552023
2009,6.810476635514019,592081
2010,6.74642735042735,647201
2011,6.755219008264462,647588
2012,6.757235023041474,687692
2013,6.7794216417910445,815572
2014,6.784000000000001,879836
2015,6.804708487084871,765213
2016,6.8154628378378375,886982
2017,6.820432692307692,914175
2018,6.8354,817001
2019,6.920618233618234,781339
2020,6.843816479400749,396461
2021,6.949633333333333,538533
2022,6.893776632302405,452366
2023,6.941012711864406,373413
2024,6.879688172043011,256688
2025,6.904194915254238,129792
